название;url;genre;подписки;просмотры;количество авторов
She Bites!;https://www.webtoons.com/en/slice-of-life/she-bites/list?title_no=3236;Slice of life;59532;1300000;2
Snailogy;https://www.webtoons.com/en/slice-of-life/snailogy/list?title_no=387;Slice of life;353620;34300000;1
My Dictator Boyfriend;https://www.webtoons.com/en/comedy/my-dictator-boyfriend/list?title_no=1391;Comedy;273122;45600000;2
Refund High School;https://www.webtoons.com/en/fantasy/refundhighschool/list?title_no=1360;Fantasy;1300000;133600000;1
Murrz;https://www.webtoons.com/en/slice-of-life/murrz/list?title_no=1281;Slice of life;785741;231000000;1
Illuminated;https://www.webtoons.com/en/tiptoon/illuminated/list?title_no=2813;Informative;109264;910658;3
Cat Loaf Adventures;https://www.webtoons.com/en/slice-of-life/cat-loaf-adventures/list?title_no=1381;Slice of life;312153;23500000;1
Spirit Fingers;https://www.webtoons.com/en/drama/spirit-fingers/list?title_no=1577;Drama;336625;33400000;1
Waffles & Pancakes;https://www.webtoons.com/en/slice-of-life/waffles-and-pancakes/list?title_no=1310;Slice of life;207052;70500000;1
Saphie: The One-Eyed Cat;https://www.webtoons.com/en/slice-of-life/saphie-one-eyed-cat/list?title_no=670;Slice of life;650930;147600000;1
My Name is Benny;https://www.webtoons.com/en/slice-of-life/my-name-is-benny/list?title_no=1279;Slice of life;258508;37100000;1
Meow Man;https://www.webtoons.com/en/comedy/meow-man/list?title_no=1677;Comedy;311869;29800000;1
As Per Usual;https://www.webtoons.com/en/slice-of-life/as-per-usual/list?title_no=599;Slice of life;490078;115200000;1
A Budgie's Life;https://www.webtoons.com/en/slice-of-life/its-a-budgies-life/list?title_no=985;Slice of life;344313;67500000;1
Illusions of Adulting;https://www.webtoons.com/en/slice-of-life/illusions-of-adulting/list?title_no=922;Slice of life;71002;4700000;1
Smile Brush;https://www.webtoons.com/en/slice-of-life/smile-brush/list?title_no=94;Slice of life;118680;8300000;1
Lorna;https://www.webtoons.com/en/slice-of-life/lorna/list?title_no=1284;Slice of life;52017;4000000;1
Library Ghost;https://www.webtoons.com/en/comedy/library-ghost/list?title_no=220;Comedy;72132;7700000;1
Girls Have a Blog;https://www.webtoons.com/en/slice-of-life/girls-have-a-blog/list?title_no=1052;Slice of life;139298;6400000;2
Just for Kicks;https://www.webtoons.com/en/slice-of-life/just-for-kicks/list?title_no=1152;Slice of life;256330;27200000;1
Cooking Comically;https://www.webtoons.com/en/tiptoon/cooking-comically/list?title_no=622;Informative;141168;5600000;1
dustinteractive;https://www.webtoons.com/en/comedy/dustinteractive/list?title_no=907;Comedy;326107;103300000;1
How to Love;https://www.webtoons.com/en/slice-of-life/how-to-love/list?title_no=472;Slice of life;119315;11100000;1
The Sound of Your Heart;https://www.webtoons.com/en/comedy/the-sound-of-your-heart/list?title_no=269;Comedy;145608;30800000;1
MercWorks;https://www.webtoons.com/en/slice-of-life/mercworks/list?title_no=426;Slice of life;55486;9000000;1
1111 Animals;https://www.webtoons.com/en/comedy/1111-animals/list?title_no=437;Comedy;48955;7000000;1
Smile Brush: My Old Pictures;https://www.webtoons.com/en/slice-of-life/smile-brush-my-old-pictures/list?title_no=302;Slice of life;79935;5700000;1
American Road Trip;https://www.webtoons.com/en/drama/american-road-trip/list?title_no=2209;Drama;100824;1800000;2
Doodle for Food;https://www.webtoons.com/en/slice-of-life/doodle-for-food/list?title_no=487;Slice of life;185236;53300000;1
My Kitty and Old Dog;https://www.webtoons.com/en/slice-of-life/my-kitty-and-old-dog/list?title_no=184;Slice of life;109272;16100000;1
Roar Street Journal;https://www.webtoons.com/en/slice-of-life/roar-street-journal/list?title_no=397;Slice of life;58416;10700000;1
MOONBEARD;https://www.webtoons.com/en/comedy/moon-beard/list?title_no=471;Comedy;60469;8000000;1
Up and Out ;https://www.webtoons.com/en/slice-of-life/up-and-out/list?title_no=488;Slice of life;65509;10700000;1
National Dog Day 2016;https://www.webtoons.com/en/slice-of-life/national-dog-day/list?title_no=747;Slice of life;37972;2900000;1
RANDOMPHILIA;https://www.webtoons.com/en/comedy/randomphilia/list?title_no=386;Comedy;81624;18100000;1
Midnight Rhapsody;https://www.webtoons.com/en/slice-of-life/midnight-rhapsody/list?title_no=116;Slice of life;28010;2800000;2
A Bittersweet Life;https://www.webtoons.com/en/slice-of-life/a-bittersweet-life/list?title_no=294;Slice of life;92497;6600000;1
Average Adventures of an Average Girl;https://www.webtoons.com/en/slice-of-life/average-adventures-of-an-average-girl/list?title_no=401;Slice of life;73273;9500000;1
All That We Hope to Be;https://www.webtoons.com/en/slice-of-life/all-that-we-hope-to-be/list?title_no=470;Slice of life;60190;2300000;1
3-Second Strip;https://www.webtoons.com/en/comedy/3-second-strip/list?title_no=380;Comedy;62099;16200000;1
Lunarbaboon;https://www.webtoons.com/en/slice-of-life/lunarbaboon/list?title_no=523;Slice of life;189575;65900000;1
Lars;https://www.webtoons.com/en/slice-of-life/lars/list?title_no=358;Slice of life;46324;8500000;1
Tickle Town;https://www.webtoons.com/en/comedy/tickle-town/list?title_no=428;Comedy;16078;2700000;2
New Life Project;https://www.webtoons.com/en/comedy/new-life-project/list?title_no=279;Comedy;15826;1800000;1
BuzzFeed Comics;https://www.webtoons.com/en/comedy/buzzfeed-comics/list?title_no=585;Comedy;80957;19600000;1
Immortal Nerd;https://www.webtoons.com/en/slice-of-life/immortal-nerd/list?title_no=579;Slice of life;30334;3000000;1
Cluster Fudge;https://www.webtoons.com/en/slice-of-life/cluster-fudge/list?title_no=355;Slice of life;27795;5100000;1
Epic V;https://www.webtoons.com/en/comedy/epic-v/list?title_no=353;Comedy;6019;555688;2
Midnight Rhapsody : Season 2;https://www.webtoons.com/en/slice-of-life/midnight-rhapsody-season2/list?title_no=365;Slice of life;19815;2100000;2
The Life of the Three Bears;https://www.webtoons.com/en/slice-of-life/the-life-of-the-three-bears/list?title_no=390;Slice of life;18190;852252;1
Just Ask Yuli;https://www.webtoons.com/en/slice-of-life/just-ask-yuli/list?title_no=402;Slice of life;14913;572697;1
Hello World!;https://www.webtoons.com/en/slice-of-life/hello-world/list?title_no=827;Slice of life;30788;1700000;1
Pigminted;https://www.webtoons.com/en/slice-of-life/pigminted/list?title_no=482;Slice of life;23536;4000000;1
Nicholalala;https://www.webtoons.com/en/slice-of-life/nicholalala/list?title_no=418;Slice of life;19246;3000000;1
Penguin Loves Mev;https://www.webtoons.com/en/slice-of-life/penguin-loves-mev/list?title_no=86;Slice of life;32904;5400000;1
Jingle Jungle;https://www.webtoons.com/en/slice-of-life/jingle-jungle/list?title_no=282;Slice of life;13459;930378;1
Gecko Chan;https://www.webtoons.com/en/comedy/gecko-chan/list?title_no=2717;Comedy;83458;3000000;1
Deadlove;https://www.webtoons.com/en/slice-of-life/deadlove/list?title_no=2460;Slice of life;83747;2100000;2
Lore Olympus;https://www.webtoons.com/en/romance/lore-olympus/list?title_no=1320;Romance;6000000;1100000000;1
